T;P;V
74;373;4
74;399;4
74;31;5
74;39;4
74;47;4
74;62;4
74;96;5
74;114;4
74;144;5
74;157;4
74;180;5
74;195;5
74;201;4
74;218;5
74;223;4
74;235;5
74;248;5
74;295;5
75;337;4
75;369;5
75;378;5
75;4;5
75;35;4
75;44;5
75;52;5
75;67;5
75;101;5
75;119;5
75;149;5
75;162;5
75;185;5
75;200;5
75;205;4
75;221;3
75;228;5
75;240;5
75;253;5
75;300;5
76;342;5
76;373;4
76;383;5
76;8;4
76;40;5
76;48;4
76;57;5
76;72;5
76;106;5
76;123;4
76;154;5
76;167;5
76;190;5
76;203;3
76;210;5
76;225;4
76;233;5
76;245;5
76;257;4
76;304;4
77;347;5
77;377;4
77;388;5
77;13;5
77;44;4
77;53;5
77;61;4
77;77;5
77;111;5
77;127;4
77;159;5
77;172;5
77;194;4
77;207;4
77;215;5
77;229;4
77;238;5
77;249;4
77;261;4
77;309;5
78;352;5
78;381;4
78;392;4
78;17;4
78;49;5
78;58;5
78;66;5
78;81;4
78;115;4
78;131;4
78;163;4
78;177;5
78;198;4
78;211;4
78;219;4
78;234;5
78;242;4
78;253;4
78;266;5
78;314;5
79;357;5
79;385;4
79;396;4
79;22;5
79;54;5
79;63;5
79;70;4
79;86;5
79;120;5
79;135;4
79;167;4
79;182;5
79;202;4
79;215;4
79;224;5
79;239;5
79;246;4
79;258;5
79;270;4
79;318;4
80;361;4
80;390;5
80;1;5
80;27;5
80;58;4
80;67;4
80;75;5
80;91;5
80;125;5
80;140;5
80;172;5
80;187;5
80;207;5
80;220;5
80;229;5
80;244;5
80;251;5
80;263;5
80;274;4
80;323;5
81;365;4
81;395;5
81;6;5
81;32;5
81;63;5
81;72;5
81;79;4
81;96;5
81;130;5
81;145;5
81;177;5
81;191;4
81;212;5
81;225;5
81;234;5
81;249;5
81;256;5
81;268;5
81;279;5
81;327;4
82;370;5
82;399;4
82;11;5
82;36;4
82;68;5
82;77;5
82;84;5
82;101;5
82;134;4
82;150;5
82;182;5
82;195;4
82;217;5
82;229;4
82;239;5
82;254;5
82;261;5
82;272;4
82;283;4
82;331;4
83;375;5
83;4;5
83;15;4
83;40;4
83;73;5
83;81;4
83;89;5
83;105;4
83;139;5
83;155;5
83;186;4
83;200;5
83;221;4
83;233;4
83;244;5
83;258;4
83;265;4
83;277;5
83;288;5
83;336;5
84;380;5
84;9;5
84;19;4
84;45;5
84;78;5
84;86;5
84;93;4
84;110;5
84;144;5
84;160;5
84;191;5
84;204;4
84;226;5
84;238;5
84;249;5
84;262;4
84;269;4
84;282;5
84;293;5
84;341;5
85;385;5
85;14;5
85;24;5
85;50;5
85;83;5
85;90;4
85;98;5
85;115;5
85;148;4
85;165;5
85;196;5
85;208;4
85;230;4
85;242;4
85;254;5
85;266;4
85;273;4
85;287;5
85;297;4
85;345;4
86;390;5
86;19;5
86;28;4
86;55;5
86;88;5
86;95;5
86;103;5
