Bad Nauheim;32163;50,3667;8,75
Hoyerswerda;32123;51,4331;14,25
Altenburg;32074;50,985;12,4333
Delbrück;31949;51,7667;8,5667
Fürstenwalde;31941;52,3667;14,0667
Achim;31911;53,013;9,033
Itzehoe;31879;53,925;9,5164
Georgsmarienhütte;31827;52,2031;8,0447
Herrenberg;31545;48,5967;8,8708
Oer-Erkenschwick;31442;51,6422;7,2508
Radolfzell am Bodensee;31203;47,7369;8,9697
Kreuztal;31187;50,962;8,0064
Ganderkesee;31137;53,0358;8,5483
Rheinberg;31097;51,5467;6,6006
Bramsche;30952;52,4089;7,9728
Neuruppin;30846;52,9222;12,8
Einbeck;30826;51,8167;9,8667
Werl;30772;51,5528;7,9139
Schönebeck;30720;52,0167;11,75
Burgdorf;30699;52,4438;10,0078
Gevelsberg;30695;51,3265;7,3559
Weyhe;30669;52,9936;8,8733
Geesthacht;30551;53,4375;10,3675
Haan;30484;51,1931;7,0131
Lohmar;30363;50,8415;7,2166
Osterholz-Scharmbeck;30300;53,2269;8,7947
Weil am Rhein;30175;47,5947;7,6108
Ennepetal;30075;51,3021;7,3425
Riesa;30054;51,3081;13,2939
Taunusstein;30005;50,1435;8,1606
Andernach;29966;50,4397;7,4017
Meschede;29921;51,3503;8,2836
Schwedt (Oder);29920;53,0631;14,2831
Friedberg;29810;48,35;10,9833
Bad Hersfeld;29800;50,8683;9,7067
Gaggenau;29777;48,8039;8,3194
Merzig;29745;49,4471;6,6312
Neuburg;29682;48,7333;11,1833
Werve;29662;51,6667;7,6167
Vaihingen an der Enz;29467;48,9328;8,9564
Rietberg;29466;51,8;8,4333
Saalfeld;29457;50,6506;11,3542
Bretten;29412;49,0364;8,7061
Waltrop;29345;51,6236;7,3972
Oelde;29326;51,8258;8,1436
Tönisvorst;29306;51,3208;6,4931
Güstrow;29241;53,7939;12,1764
Friedberg;29180;50,3353;8,755
Landsberg;29132;48,0528;10,8689
Northeim;29107;51,7067;10,0011
Kelkheim (Taunus);29055;50,138;8,4525
Springe;28951;52,2167;9,55
Unterschleißheim;28907;48,2833;11,5667
Bühl;28900;48,6953;8,135
Schwandorf;28828;49,3236;12,0993
Höxter;28824;51,7667;9,3667
Rösrath;28693;50,9;7,1833
Bad Zwischenahn;28596;53,1836;8,0097
Schwelm;28542;51,2904;7,2972
Rendsburg;28470;54,3044;9,6644
Winnenden;28339;48,8764;9,3978
Bad Neuenahr-Ahrweiler;28251;50,5447;7,1133
Grimma;28180;51,2386;12,7253
Wegberg;28175;51,1333;6,2667
Geislingen an der Steige;28122;48,6244;9,8306
Königsbrunn;28076;48,2689;10,8908
Henstedt-Ulzburg;28070;53,7833;10
Meißen;28044;51,1636;13,4775
Leichlingen;28031;51,1167;7,0167
Kevelaer;28021;51,5833;6,25
Zeitz;27955;51,0478;12,1383
Emmendingen;27882;48,1214;7,8492
Blankenfelde;27837;52,35;13,4
Sundern;27802;51,3167;8
Baunatal;27750;51,2589;9,4183
Reinbek;27649;53,5089;10,2483
Mechernich;27598;50,6;6,65
Hattersheim;27590;50,0697;8,4862
